NVPROF ece408-low 10000

Op Time: 0.558542
Correctness: 0.629

Profiling result:
Time(%)      Time     Calls       Avg       Min       Max  Name
 86.71%  558.45ms         1  558.45ms  558.45ms  558.45ms  void mxnet::op::forward_kernel<mshadow::gpu, float>(float*, mxnet::op::forward_kernel<mshadow::gpu, float> const *, mxnet::op::forward_kernel<mshadow::gpu, float> const , int, int, int, int, int, int)
  6.09%  39.215ms         1  39.215ms  39.215ms  39.215ms  sgemm_sm35_ldg_tn_128x8x256x16x32
  3.01%  19.395ms         2  9.6973ms  461.56us  18.933ms  void cudnn::detail::activation_fw_4d_kernel<float, float, int=128, int=1, int=4, cudnn::detail::tanh_func<float>>(cudnnTensorStruct, float const *, cudnn::detail::activation_fw_4d_kernel<float, float, int=128, int=1, int=4, cudnn::detail::tanh_func<float>>, cudnnTensorStruct*, float, cudnnTensorStruct*, int, cudnnTensorStruct*)
  2.25%  14.509ms         1  14.509ms  14.509ms  14.509ms  void cudnn::detail::pooling_fw_4d_kernel<float, float, cudnn::detail::maxpooling_func<float, cudnnNanPropagation_t=0>, int=0>(cudnnTensorStruct, float const *, cudnn::detail::pooling_fw_4d_kernel<float, float, cudnn::detail::maxpooling_func<float, cudnnNanPropagation_t=0>, int=0>, cudnnTensorStruct*, cudnnPoolingStruct, float, cudnnPoolingStruct, int, cudnn::reduced_divisor, float)
  0.94%  6.0814ms        13  467.80us  1.5360us  4.1644ms  [CUDA memcpy HtoD]
  0.57%  3.6464ms         1  3.6464ms  3.6464ms  3.6464ms  sgemm_sm35_ldg_tn_64x16x128x8x32
  0.17%  1.1206ms         1  1.1206ms  1.1206ms  1.1206ms  void mshadow::cuda::SoftmaxKernel<int=8, float, mshadow::expr::Plan<mshadow::Tensor<mshadow::gpu, int=2, float>, float>, mshadow::expr::Plan<mshadow::Tensor<mshadow::gpu, int=2, float>, float>>(mshadow::gpu, int=2, unsigned int)
  0.12%  755.00us        12  62.916us  2.0800us  381.08us  void mshadow::cuda::MapPlanKernel<mshadow::sv::saveto, int=8, mshadow::expr::Plan<mshadow::Tensor<mshadow::gpu, int=2, float>, float>, mshadow::expr::Plan<mshadow::expr::ScalarExp<float>, float>>(mshadow::gpu, unsigned int, mshadow::Shape<int=2>, int=2)
  0.07%  436.28us         2  218.14us  16.864us  419.42us  void mshadow::cuda::MapPlanKernel<mshadow::sv::plusto, int=8, mshadow::expr::Plan<mshadow::Tensor<mshadow::gpu, int=2, float>, float>, mshadow::expr::Plan<mshadow::expr::Broadcast1DExp<mshadow::Tensor<mshadow::gpu, int=1, float>, float, int=2, int=1>, float>>(mshadow::gpu, unsigned int, mshadow::Shape<int=2>, int=2)
  0.06%  389.21us         1  389.21us  389.21us  389.21us  sgemm_sm35_ldg_tn_32x16x64x8x16
  0.00%  23.231us         1  23.231us  23.231us  23.231us  void mshadow::cuda::MapPlanKernel<mshadow::sv::saveto, int=8, mshadow::expr::Plan<mshadow::Tensor<mshadow::gpu, int=2, float>, float>, mshadow::expr::Plan<mshadow::expr::ReduceWithAxisExp<mshadow::red::maximum, mshadow::Tensor<mshadow::gpu, int=3, float>, float, int=3, bool=1, int=2>, float>>(mshadow::gpu, unsigned int, mshadow::Shape<int=2>, int=2)
  0.00%  9.6960us         1  9.6960us  9.6960us  9.6960us  [CUDA memcpy DtoH]

API calls:
Time(%)      Time     Calls       Avg       Min       Max  Name
 41.48%  1.85955s        18  103.31ms  17.251us  929.62ms  cudaStreamCreateWithFlags
 25.36%  1.13701s        10  113.70ms     646ns  324.64ms  cudaFree
